รหัส,ชื่อยา,VEN,exclude_status
1500023,CeftriaxoneSodium 250mg,V,
1500025,CiprofloxacinHCL 500mg,E,
1500036,Betahistine 6mg,E,
1500046,ฟ้าทะลายโจร 350mg,N,
1500052,"Glycerylguaiacolate ,60ml",E,
1500053,Fluphenazine 25mg /ml,V,
1500119,TrihexyphenidylHCL 2mg,E,
1501102,GyneconVaginal,E,
1501106,Losartan 50mg,E,
1501113,Adrenaline 1mg/ml,V,
1501115,Dexamethasone 4mg/ml,V,
1501118,Hyoscine butylbromide 20mg/ml,V,
1501119,"ChlorpheniramineMaleate 10mg/ml ,CPM",V,
1501120,Diazepam 10mg/2ml,V,
1501122,Digoxin 0.5mg/2ml,V,
1501123,Dimenhydrinate 50mg./ml.,V,
1501126,Metoclopamide 10mg/2ml,V,
1501127,"Phytonadione 10mg/ml ,VitaminK1 10mg",V,
1501129,Methimazole 5mg,E,
1501130,D-5-S 1000ml,V,
1501131,D-5-S/2 1000ml,V,
1501132,D-5-S/2 500ml,V,
1501134,D-5-S/3 1000ml,V,
1501138,D-5-W 1000ml,V,
1501141,Povidone-iodine 450ml,E,
1501142,Glucose powder 454gm,N,
1501143,Omeprazole 40mg/ml,V,
1501146,Fluoxetine 20mg,E,
1501147,Haloperidol 50mg./ml,V,
1501148,"SalbutamolSulfate 0.5%w/v(5mg/ml) ,20ml",E,
1510302,Povidone-iodineoint 50gm,E,
1510309,NicardipineHCL 2mg/2ml,V,
1510312,Gemfibrozil 600mg,E,
1511007,MetforminHCL 850mg,E,ตัดออก
1520002,"Ethylalcohol70% ,450ml",E,
1520008,"Thiamine 100mg/ml, VitaminB1",V,
1520015,Oseltamivirphosphate 75mg,E,
1520023,"ยาระบายมะขามแขก ,sennakot",N,
1520028,"ยาชงหญ้าดอกขาว ,1ห่อ/10ซอง",N,
1520031,ยาหอมนวโกฐ,N,สั่งเมื่อขอ
1520044,ไพลครีม 30กรัม,N,
1520048,VitaminB6 50mg,E,
1520049,Oseltamivirphosphate 30mg,E,
1520050,Oseltamivirphosphate 45mg,E,
1520054,ลูกประคบ,N,สั่งเมื่อขอ
1530002,"Sulfamethoxazole800mg+Trimethoprim160mg ,Bactrimforte",E,
1530004,"SodiumChloride 1000ml ,Nss1000ml",V,
1530005,"TranexamicAcid 250mg  ,Capsule",E,
1530007,"Medroxyprogesteroneacetate 150mg/3ml ,DepoM",V,ตัดออก
1530033,ยาประสะไพล 500mg,N,สั่งเมื่อขอ
1540005,HCTZ 25mg,E,
1540027,Pioglitazone 30mg,E,
1540029,Adenosine 6mg/2ml,V,
1540031,Povidone-iodine sol 30ml,E,
1540032,Ethylalcohol 70% 60ml. (50 bott/box),E,
1550001,NicardipineHCL 10mg/10ml,V,
1550008,"Brompheniramine4mg+Phenylehrine10mg ,Nasotab14mg",E,
1550010,Salmetrol/Fluticasone 25/125mcg,E,
1550016,Clopidogrel 75mg,E,
1550017,Sertraline 50mg,E,
1550019,Risperidone 2mg,E,
1550020,Metronidazole 400mg,E,
1560001,"SodiumValproate 500mg ,SustainedRelease",E,
1560003,SodiumValproateChrono 200mg,E,ตัดออก
1560004,SodiumValproateEntericCoated 200mg,E,
1560006,"SodiumChloride 50ml ,Nss50ml",V,
1570003,Amlodipine besilate 10mg,E,
1570005,Norepinephrine 4mg/4ml,V,
1570020,Haloperidol 2mg,E,
1570021,Hydroxyzine 10mg,E,
1570025,SodiumChloride 300mg,E,
1570027,Terramycineyeointment 3.5gm,E,
1570028,"Acetylcysteine 300mg/3ml ,Fluimucil",V,
1570052,OralRehydration ผู้ใหญ่,E,
1570053,ยาแคปซูลเบญจกูล,N,สั่งเมื่อขอ
1580004,Gentamicin sulfate 80mg./2ml.,V,
1580005,"Triamcinoloneacetonide 0.1% lotion ,30ml ,TAlotion",E,
